MonsterGroups:
	.db #$09, #$01, #$04, #$03  ;ID=0	easy___ghould_bat_hopper_dalekish
	.db #$06, #$17, #$00, #$00  ;ID=1	get_sword_and_ball
	.db #$15, #$15, #$14, #$00  ;ID=2	villagenpc2
	.db #$01, #$05, #$07, #$0b  ;ID=3	normal_bat_dalekish_ghoul_hopper
	.db #$0c, #$1a, #$0c, #$0e  ;ID=4	bossses
	.db #$02, #$07, #$0b, #$0d  ;ID=5	hard_dalek_hopper_bleurat_maybeslime
	.db #$0d, #$16, #$00, #$00  ;ID=6	testing
	.db #$08, #$0a, #$15, #$00  ;ID=7	villagenpc1
	.db #$12, #$13, #$00, #$00  ;ID=8	signs
	.db #$10, #$16, #$03, #$04  ;ID=9	easy2_slime_mouse_hopper_dalek
	.db #$18, #$19, #$00, #$00  ;ID=10	start
	.db #$17, #$17, #$06, #$00  ;ID=11	getprojectlie
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
	.db #$00, #$00, #$00, #$00
